21960  4
527		0		0		35
65		0		0		20
0		0		0		0
138		0		0		16
295		0		0		54
631		0		0		54
13		0		0		1
41		0		0		15
108		0		0		14
162		0		0		30
713		0		0		37
6		0		0		0
567		0		0		60
34		0		0		1
264		0		0		39
0		0		0		0
453		0		0		35
210		0		0		31
17		0		0		4
845		0		0		202
256		0		0		17
630		0		0		59
238		0		0		22
227		0		0		40
0		0		0		0
6		0		0		0
10		0		0		0
528		0		0		104
287		0		0		14
84		0		0		11
14		0		0		0
296		0		0		40
522		0		0		22
8		0		0		0
11		0		0		0
19		0		0		0
0		0		0		0
14		0		0		4
63		0		0		2
343		0		0		33
926		0		0		69
85		0		0		16
82		0		0		9
221		0		0		35
139		0		0		26
277		0		0		40
263		0		0		40
16		0		0		3
88		0		0		14
140		0		0		8
1389		0		0		25
71		0		0		5
179		0		0		58
5		0		0		0
8		0		0		2
178		0		0		21
2		0		0		0
256		0		0		15
334		0		0		24
350		0		0		47
61		0		0		1
734		0		0		32
82		0		0		9
773		0		0		46
324		0		0		14
43		0		0		10
254		0		0		15
297		0		0		25
515		0		0		37
360		0		0		41
19		0		0		10
351		0		0		33
140		0		0		9
211		0		0		24
239		0		0		34
50		0		0		5
697		0		0		49
482		0		0		28
15		0		0		11
66		0		0		4
41		0		0		1
194		0		0		25
209		0		0		13
403		0		0		38
384		0		0		28
310		0		0		22
74		0		0		6
12		0		0		6
253		0		0		37
0		0		0		0
22		0		0		1
22		0		0		1
256		0		0		21
295		0		0		32
171		0		0		21
165		0		0		17
0		0		0		0
51		0		0		4
287		0		0		54
770		0		0		78
4		0		0		0
557		0		0		60
5		0		0		0
234		0		0		6
191		0		0		9
733		0		0		59
532		0		0		57
21		0		0		2
649		0		0		59
695		0		0		69
382		0		0		35
281		0		0		37
895		0		0		93
6		0		0		0
244		0		0		42
100		0		0		14
144		0		0		28
152		0		0		42
23		0		0		6
181		0		0		9
209		0		0		28
544		0		0		56
753		0		0		84
15		0		0		3
76		0		0		18
314		0		0		54
238		0		0		36
414		0		0		17
2		0		0		3
32		0		0		5
34		0		0		8
32		0		0		0
8		0		0		0
24		0		0		0
562		0		0		26
31		0		0		5
626		0		0		50
116		0		0		10
366		0		0		21
482		0		0		31
507		0		0		39
148		0		0		20
4		0		0		1
401		0		0		34
272		0		0		20
120		0		0		9
121		0		0		15
94		0		0		13
73		0		0		7
380		0		0		30
0		0		0		0
663		0		0		67
150		0		0		27
382		0		0		36
133		0		0		19
249		0		0		17
102		0		0		15
423		0		0		93
354		0		0		17
127		0		0		20
191		0		0		8
686		0		0		38
877		0		0		46
577		0		0		134
103		0		0		19
435		0		0		109
120		0		0		12
354		0		0		56
248		0		0		39
106		0		0		17
728		0		0		58
439		0		0		63
366		0		0		34
242		0		0		29
687		0		0		84
93		0		0		6
74		0		0		4
4		0		0		0
16		0		0		4
20		0		0		4
620		0		0		62
318		0		0		29
262		0		0		10
73		0		0		6
11		0		0		1
329		0		0		46
1		0		0		0
102		0		0		38
477		0		0		49
15		0		0		0
490		0		0		30
25		0		0		6
45		0		0		10
131		0		0		20
556		0		0		58
425		0		0		38
20		0		0		1
153		0		0		3
173		0		0		4
214		0		0		39
115		0		0		21
99		0		0		18
877		0		0		40
362		0		0		31
6		0		0		2
4		0		0		1
2		0		0		1
60		0		0		7
143		0		0		6
203		0		0		13
508		0		0		38
379		0		0		24
129		0		0		14
671		0		0		61
50		0		0		1
299		0		0		17
559		0		0		119
12		0		0		1
71		0		0		20
587		0		0		120
446		0		0		26
0		0		0		0
286		0		0		44
253		0		0		16
775		0		0		56
0		0		0		0
333		0		0		43
109		0		0		17
949		0		0		26
5		0		0		3
263		0		0		59
459		0		0		77
91		0		0		7
131		0		0		12
0		0		0		0
13		0		0		3
13		0		0		3
452		0		0		32
421		0		0		30
31		0		0		2
70		0		0		8
575		0		0		48
5		0		0		1
273		0		0		22
278		0		0		23
65		0		0		1
2		0		0		0
58		0		0		3
10		0		0		3
388		0		0		23
504		0		0		37
152		0		0		11
164		0		0		27
3		0		0		0
37		0		0		2
34		0		0		2
491		0		0		70
4		0		0		0
5		0		0		0
9		0		0		0
189		0		0		19
6		0		0		0
15		0		0		7
259		0		0		50
228		0		0		27
149		0		0		28
315		0		0		41
166		0		0		13
644		0		0		62
316		0		0		31
333		0		0		60
85		0		0		2
101		0		0		14
55		0		0		2
184		0		0		6
129		0		0		4
485		0		0		36
0		0		0		0
61		0		0		10
253		0		0		16
716		0		0		31
7		0		0		0
71		0		0		3
319		0		0		10
99		0		0		3
469		0		0		44
521		0		0		30
78		0		0		4
49		0		0		1
170		0		0		9
156		0		0		18
622		0		0		45
346		0		0		74
267		0		0		25
541		0		0		40
489		0		0		41
195		0		0		7
611		0		0		39
17		0		0		3
10		0		0		0
46		0		0		1
61		0		0		2
186		0		0		4
293		0		0		7
